epoch,epoch_time,lr-SparseLamb/pg1,lr-SparseLamb/pg2,step,train_loss,val_loss,val_r2
,,0.002,0.002,357,,,
0,,,,357,3.2960150241851807,,
,,0.002,0.002,358,,,
0,,,,358,3.025027275085449,,
,,0.002,0.002,359,,,
0,,,,359,3.736844539642334,,
,,0.002,0.002,360,,,
0,,,,360,3.0506479740142822,,
,,0.002,0.002,361,,,
0,,,,361,2.6096560955047607,,
,,0.002,0.002,362,,,
0,,,,362,4.154903888702393,,
,,0.002,0.002,363,,,
0,,,,363,3.011840581893921,,
,,0.002,0.002,364,,,
0,,,,364,2.6590168476104736,,
,,0.002,0.002,365,,,
0,,,,365,2.8305983543395996,,
,,0.002,0.002,366,,,
0,,,,366,3.271360158920288,,
,,0.002,0.002,367,,,
0,,,,367,4.555825710296631,,
,,0.002,0.002,368,,,
0,,,,368,3.3606388568878174,,
,,0.002,0.002,369,,,
0,,,,369,2.7950236797332764,,
,,0.002,0.002,370,,,
0,,,,370,2.6288654804229736,,
,,0.002,0.002,371,,,
0,,,,371,2.8024048805236816,,
,,0.002,0.002,372,,,
0,,,,372,3.818291664123535,,
,,0.002,0.002,373,,,
0,,,,373,3.6693477630615234,,
,,0.002,0.002,374,,,
0,,,,374,3.264238119125366,,
,,0.002,0.002,375,,,
0,,,,375,3.871779203414917,,
,,0.002,0.002,376,,,
0,,,,376,2.9575271606445312,,
,,0.002,0.002,377,,,
0,,,,377,4.624190330505371,,
,,0.002,0.002,378,,,
0,,,,378,3.181670665740967,,
,,0.002,0.002,379,,,
0,,,,379,3.801481008529663,,
,,0.002,0.002,380,,,
0,,,,380,3.0842156410217285,,
,,0.002,0.002,381,,,
0,,,,381,4.4592437744140625,,
,,0.002,0.002,382,,,
0,,,,382,5.356023788452148,,
,,0.002,0.002,383,,,
0,,,,383,3.50734543800354,,
,,0.002,0.002,384,,,
0,,,,384,4.750966548919678,,
,,0.002,0.002,385,,,
0,,,,385,2.369253396987915,,
,,0.002,0.002,386,,,
0,,,,386,2.27225399017334,,
,,0.002,0.002,387,,,
0,,,,387,4.1944074630737305,,
,,0.002,0.002,388,,,
0,,,,388,2.409105062484741,,
,,0.002,0.002,389,,,
0,,,,389,4.985116958618164,,
,,0.002,0.002,390,,,
0,,,,390,2.8892390727996826,,
,,0.002,0.002,391,,,
0,,,,391,3.395430088043213,,
,,0.002,0.002,392,,,
0,,,,392,1.997796893119812,,
,,0.002,0.002,393,,,
0,,,,393,2.1284992694854736,,
,,0.002,0.002,394,,,
0,,,,394,5.039286136627197,,
,,0.002,0.002,395,,,
0,,,,395,2.890798568725586,,
,,0.002,0.002,396,,,
0,,,,396,3.239143133163452,,
,,0.002,0.002,397,,,
0,,,,397,4.816754341125488,,
,,0.002,0.002,398,,,
0,,,,398,3.7372488975524902,,
,,0.002,0.002,399,,,
0,,,,399,32.49040985107422,,
,,0.002,0.002,400,,,
0,,,,400,2.0753328800201416,,
,,0.002,0.002,401,,,
0,,,,401,2.0164432525634766,,
,,0.002,0.002,402,,,
0,,,,402,2.5767054557800293,,
,,0.002,0.002,403,,,
0,,,,403,2.7915101051330566,,
,,0.002,0.002,404,,,
0,,,,404,2.7209181785583496,,
,,0.002,0.002,405,,,
0,,,,405,6.4413323402404785,,
,,0.002,0.002,406,,,
0,,,,406,2.494356155395508,,
,,0.002,0.002,407,,,
0,,,,407,2.2506954669952393,,
,,0.002,0.002,408,,,
0,,,,408,2.962217330932617,,
,,0.002,0.002,409,,,
0,,,,409,2.645439624786377,,
,,0.002,0.002,410,,,
0,,,,410,5.555395126342773,,
,,0.002,0.002,411,,,
0,,,,411,4.498942852020264,,
,,0.002,0.002,412,,,
0,,,,412,8.841715812683105,,
,,0.002,0.002,413,,,
0,,,,413,5.909533977508545,,
,,0.002,0.002,414,,,
0,,,,414,3.56976318359375,,
,,0.002,0.002,415,,,
0,,,,415,2.3971378803253174,,
,,0.002,0.002,416,,,
0,,,,416,5.672402381896973,,
,,0.002,0.002,417,,,
0,,,,417,2.284790277481079,,
,,0.002,0.002,418,,,
0,,,,418,2.1027028560638428,,
,,0.002,0.002,419,,,
